0,1,2,3,4,5,6,7,8,9,10,11,12
117014613,1,세이노의 가르침,세이노(SayNo) 저,데이원,2023-03-02,7200,6480,자기계발,처세술/삶의 자세,자기계발,성공학/경력관리,"재야의 명저 『세이노의 가르침』 2023년판 정식 출간!순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 『세이노의 가르침』이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다. 더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의  마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다.*필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다."
117716170,2,메리골드 마음 세탁소,윤정은 저,북로망스,2023-03-06,15000,13500,소설/시/희곡,한국소설,,,"“마음의 얼룩을 마법처럼 지워드립니다”한국형 힐링 판타지가 쏘아 올린 역대급 입소문 베스트셀러!『메리골드 마음 세탁소』 30만 부 돌파 기념 ‘플라워 에디션’ 출간* K-문학 힐링 판타지의 결정판!* 온라인서점 선정 2023 소설 베스트셀러 1위!* 한국 소설 최초! 펭귄랜덤하우스 최고가 수출* 영미권 포함 20개국 수출 계약 진행* 2023 교육청 선정 도서, 청소년이 선정한 추천 도서윤정은 작가의 소설 『메리골드 마음 세탁소』가 독자들의 사랑에 힘입어 더욱 화사하고 몽환적인 표지로 돌아왔다. 출간 직후 베스트셀러에 오른 『메리골드 마음 세탁소』는 1년이 채 안 되어 영미권과 프랑스·이탈리아를 비롯한 유럽권, 중국·대만·인도네시아 등지의 아시아권까지 해외 판권이 수출되었다. 한국 소설 최초로 펭귄랜덤하우스 UK에 최고가 수출 계약이 체결되면서 세계적인 러브콜을 입증하기도 했다. 국내는 물론이고 전 세계에서 사랑받는 한국소설의 포문을 열면서, 이 책은 독자들에게 명실상부 가장 공감되고 아름다운 한국형 힐링 소설로 자리매김했다. 이번 『메리골드 마음 세탁소』 플라워 에디션에는 그간 독자들에게 받은 사랑에 보답하는 감사의 마음을 담았다. 100만 부 이상 판매된 컬러링북과 세계적 기업과의 컬래버레이션으로 잘 알려진 송지혜 작가가 초판본을 업그레이드한 아름다운 컬러 일러스트로 빛을 밝혀주었고, 표지에 따뜻함이 느껴지는 벨벳 코팅을 입혀 더욱 정성을 담아 독자들에게 다가간다. 연말연시의 새 출발을 응원하는 마음으로 다양한 굿즈를 함께 제작하여 풍성한 선물로도 제격이다. 우리는 가끔 시간을 되돌려 과거로 돌아가 후회됐던 일을 되돌리고 싶어 한다. 그런데 과연 그 일을 지워버리는 게 현명한 선택일까? 그리고 그 기억을 지웠을 때 지금의 내가 있을 수 있을까? 만약 그 기억만 없다면 앞으로 행복만 할 수 있을까?『메리골드 마음 세탁소』는 한밤중 언덕 위에 생겨난, 조금 수상하고도 신비로운 세탁소에서 벌어지는 일들을 그린 힐링 판타지 소설이다. 창백하게 하얀 얼굴에 젓가락처럼 마른 몸, 까맣고 구불구불 긴 머리의 미스테리한 여자는 세탁소를 찾아오는 누군가를 위해 매일같이 따뜻한 차를 끓인다. 차를 마신 이들은 어느 누구에게도 말하지 못했던 비밀스러운 이야기들을 자기도 모르게 그녀에게 털어놓는다. 아픈 날의 기억을 얼룩 지우듯 모조리 깨끗이 지워달라고 부탁한 사람들은 과연 세탁소를 나서며 행복해질 수 있을까? 『하고 싶은 대로 살아도 괜찮아』를 비롯해 약 50만 독자들에게 큰 사랑을 받아온 에세이스트 윤정은 작가가 문학상 수상 이후 11년 만에 장편소설 『메리골드 마음 세탁소』를 통해 독자와 만난다. 조용한 마을에 마법처럼 등장한 세탁소를 오가는 사람들의 갖가지 사연과, 속 깊은 대화를 통해 세탁소 주인 ‘지은’의 내면에 찾아오는 변화를 따뜻한 시선으로 그려냈다. 가난에 시달려 꿈을 포기한 어린 시절, 사랑했던 연인의 배신, 부와 명예에 홀려 놓쳐버린 삶, 학교 폭력으로 인한 상처와 방황, 자식을 위해 몸 바쳐 보낸 청춘 등 우리 각자의 삶을 닮은 이야기가 마음을 울린다. 상처를 인정하고 마음을 열어 보이는 용기와, 이웃의 아픔에 공감하고 상처를 위로하는 따뜻한 마음이 작품 전반에 진하게 녹아 있다.이 책 『메리골드 마음 세탁소』는 벼랑 끝에 몰린 것 같은 어느 날, 마음 같은 건 없었으면 좋겠다고 생각되는 그런 날에 숨어들어 상처를 털어낼 수 있는 은신처가 되어줄 것이다."
90428162,3,돈의 속성 300쇄 리커버,김승호 저,스노우폭스북스,2020-06-15,17800,16020,경제 경영,투자/재테크,,,"『알면서도 알지 못하는 것들』 김승호 회장의 최신간. 유튜브에서 1,600만 명이 시청한 <돈의 속성> 완결편으로 책을 출간했다. 복잡하고 어려운 내용은 없다. 그저 자신이 가장 잘할 수 있고, 잘 아는 '돈 버는' 모든 것을 명료하게 풀었다. 하나의 인격체와 같은 돈, 그동안 내가 알던 돈에 관한 생각을 과감히 수정한다. -경제경영MD 박정윤                                                    2020·2021·2022·2023 4년 연속 최장기 베스트셀러80만 깨어있는 독자들이 선택한 경제경영 필독서 『돈의 속성』『돈의 속성』 300쇄 기념 개정증보판 발행!『돈의 속성』 300쇄 기념, 김승호 회장의 추가 메시지를 담다!중국, 일본, 대만, 태국 4개국 출간이 책은 초판 발행 후, 경제경영 필도서로 자리매김한 『돈의 속성』 300쇄 기념 개정증보판이다. 300쇄에 맞춰 코로나19로 바뀐 경제상황과 돈에 관한 김승호 회장의 추가 메시지를 담았다.『돈의 속성』은 3년 전 어느 극장 하나를 빌려 대중에게 강의했던 내용을 기반으로 집필됐다. 강연은 방송을 통해 전파되며 유튜브와 셀럽들에 의해 공유와 전파를 거듭했다. 그리고 이내 1,100만 명에게 전달되기에 이르렀다. 하지만 여러 사람을 통해 생산 및 재생산되는 과정에서 어떤 의미는 그 뜻이 정확히 전달되지 않았거나 의미가 왜곡되는 일이 있었다.몇 권을 저술한 저자지만 여전히 책 쓰기가 가장 어렵다는 그는 이런 상황에서 다시 한 번 펜을 잡기로 결정했다. 그것은 그의 내면에 깃든 사람에 대한 애정 때문이었다. 모두에게 정말 필요하고 중요하지만 아무도 말하지 않는 진짜 돈 버는 방법, 진짜 돈을 벌어본 사람은 그 누구도 방법을 공유하지 않기에 이 일이 저자 자신에게 주어진 것이라 받아들였다. 젊은 날의 자신의 모습이 투영되기에.어떤 횡재나 일명 대박주식 없이 말 그대로 맨손에서 만들어낸 종잣돈으로 돈 버는 방법을 알려준다. 부모에게 받은 유산은커녕, 30대 후반까지 낡은 자동차에 그날 판매할 과일을 싣고 다니던 어느 가난한 이민 가장이 이룬 진짜 부에 대한 모든 방법이 담겼다. 종잣돈 천만 원을 만들고 그 돈을 1억 원, 10억 원, 100억 원, 수천억 원이 될 때까지 돈을 관리하며 터득한 ‘돈’이 가진 속성을 정리한 안내서다. ‘진짜 부자’가 된 실제 인물이 말해주는 ‘진짜 돈’만들기에 대한 책이다.돈이 가진 속성과 75가지 돈에 대한 가르침을 통해 현재 200만 원을 벌고 있는 직장인, 마이너스 생활 중인 누군가, 직장이 없는 청년, 가용자금이 있고 투자처를 찾고 있는 사람이나 그 너머까지 돈을 운용할 수 있는 재력가와 투자가, 사업가 또는 ‘우리 아이들에게만큼은 더 이상 가난을 물려줄 수 없다’는 부모…, 그 누구라도 자신에게 꼭 필요한 조언을 찾을 수 있다는 점이 이 책의 가장 큰 장점이다."
97255028,4,긴긴밤,루리 글그림,문학동네,2021-02-03,11500,10350,어린이,5-6학년,어린이,어린이 문학,"가족들과 함께 자연 속에서 행복하게 살았지만 무분별한 남획으로 세상에 혼자 남게 된 흰바위코뿔소 ‘노든’, 태어나자마자 코뿔소의 손에 남겨진 어린 펭귄. 어린 펭귄을 바다에 데려다 주겠다는 약속을 지키기 위해 떠난 동물들의 여정 속에서 어둡게만 보이는 현실 속 희망을 발견한다. - 어린이MD 김수연                                                    제21회 문학동네어린이문학상 대상 수상작 『긴긴밤』세상에 마지막 하나 남은 흰바위코뿔소와 코뿔소 품에서 태어난 어린 펭귄.그땐 기적인 줄 몰랐다, 머리부터 발끝까지 모든 것이 다른 우리에게 서로밖에 없다는 게.세상에 마지막 하나 남은 코뿔소가 된다면, 소중한 이를 다 잃고도 ‘마지막 하나 남은 존재’의 무게를 온 영혼으로 감당해야 한다면 어떠할까? 친구의 마지막 부탁을 들어주기 위해, 어린 생명이 마땅히 있어야 할 안전한 곳을 찾아 주기 위해 본 적도 없는 바다를 향해 가는 마음은 어떤 것일까? 이 책은 지구상의 마지막 하나가 된 흰바위코뿔소 노든과 버려진 알에서 태어난 어린 펭귄이 수없는 긴긴밤을 함께하며, 바다를 찾아가는 이야기이다. 울퉁불퉁한 길 위에서 엉망인 발로도 다시 우뚝 일어설 수 있게 한 것은, 잠이 오지 않는 길고 컴컴한 밤을 기어이 밝힌 것은, “더러운 웅덩이에도 뜨는 별” 같은 의지이고, 사랑이고, 연대이다.“『긴긴밤』은 우리의 삶이 촘촘하게 연결되어 있음을 보여 준다. 다리가 튼튼한 코끼리가 다리가 불편한 코끼리의 기댈 곳이 되어 주는 것처럼, 자연에서 살아가는 게 서툰 노든을 아내가 도와준 것처럼, 윔보가 오른쪽 눈이 보이지 않는 치쿠를 위해 항상 치쿠의 오른쪽에 서 있었던 것처럼, 앙가부가 노든의 이야기를 듣고 또 들어 준 것처럼, 작지만 위대한 사랑의 연대를 보여 준다.” - 송수연(아동문학평론가)"
9349031,5,원씽 THE ONE THING,"게리 켈러, 제이 파파산 저/구세희 역",비즈니스북스,2013-08-30,16800,15120,자기계발,처세술/삶의 자세,자기계발,성공학/경력관리,"자기계발 新고전! 2023 전 온라인 서점 결산 종합 베스트셀러!“이 책에는 ‘부’와 ‘성공’을 안겨줄 무기가 들어 있다!”자청, 신사임당 등 인플루언서의 강력 추천 인생 책!2022, 2023년 연이어 종합 베스트셀러에 선정된《원씽》이 국내 60만 부 판매를 기념하여 스페셜 에디션으로 탄생했다! 수많은 언론과 매체, 인플루언서들이 연이어 《원씽》을 다시 찾아 읽고 강력하게 추천하는 이유는 무엇일까? 오늘 날, 많은 사람이 멀티 태스킹의 환상을 가지며 동시에 여러가지 일을 잘 해내고 싶어한다. 하지만 실제 부와 성공을 거머쥔 이들의 이야기를 들어보면 다르다. 인플루언서 자청, 신사임당은 한 방송에서 100억을 벌게 만든 책으로 《원씽》을 꼽으며, 진짜 원하는 것을 이룰 수 있는 ‘단 하나’가 무엇인지 고민하자 성공의 길이 열리기 시작했다고 밝혔다. 모든 것을 동시다발적으로 해내길 바라는 사회에서 《원씽》이 주는 특별한 교훈은 우리가 지치거나 포기하지 않고 목표를 향해 앞으로 나아가는 힘이 되어준다.  성공은 도미노처럼 작동한다. 성공한 사람들은 ‘성공에 필요한 일’이 무엇인지 알아내고 그 ‘단 하나의 일’을 순서에 맞게 진행한다. 첫 번째 일을 제대로 해내면, 도미노가 쓰러지듯 더 큰 성공의 길이 이어진다. 이렇게 차근차근 ‘단 하나의 일’을 해내다보면 어느새 더 크고 위대한 성공을 이루게 된다. 스스로 자기 인생의 ‘단 하나’, 즉 이 책이 말하는 ‘원씽’을 찾아낼 수만 있다면 누구나 부와 성공을 거머쥘 수 있다. 이 책은 누구나 자신만의 ‘원씽’을 찾을 수 있도록 도와주며 미래의 청사진을 그리고 계획을 세우는 방법과 반드시 목표를 이룰 수 있는 노하우를 전해준다. 특히 이번 리커버는 하드 커버로, 《원씽》의 메시지를 간직하고자하는 독자들에게 그 무엇보다 특별한 선물이 될 것이다."
99308021,6,불편한 편의점,김호연 저,나무옆의자,2021-04-20,14000,12600,소설/시/희곡,한국소설,,,"동네 골목의 작은 편의점을 배경으로 삶의 희로애락을 따뜻하고 유머러스하게 그린 소설. 서울역에서 살다가 우연한 기회에 편의점에서 일하게 된 한 인물과 저마다의 사연을 안고 편의점을 찾는 이들의 이야기, 그 속에서 지친 하루를 위로하는 편의점의 밤이 열린다. -소설MD 박형욱                                                    최고의 재미와 감동을 선사하는 K힐링소설의 원조 ***주요 서점 종합 베스트셀러 1위***국립중앙도서관 2022 올해의 책***전국 37개 도시 올해의 책***해외 18개국 판권 수출***연극 [불편한 편의점] 절찬 상연 중불편한데 자꾸 가고 싶은 편의점이 있다! 힘들게 살아낸 오늘을 위로하는 편의점의 밤정체불명의 알바로부터 시작된 웃음과 감동의 나비효과『망원동 브라더스』 김호연의 ‘동네 이야기’ 시즌 22013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다. 서울역에서 노숙인 생활을 하던 독고라는 남자가 어느 날 70대 여성의 지갑을 주워준 인연으로 그녀가 운영하는 편의점에서 야간 알바를 하면서 이야기가 시작된다. 덩치가 곰 같은 이 사내는 알코올성 치매로 과거를 기억하지 못하는 데다 말도 어눌하고 행동도 굼떠 과연 손님을 제대로 상대할 수 있을까 의구심을 갖게 하는데 웬걸, 의외로 그는 일을 꽤 잘해낼 뿐 아니라 주변 사람들을 묘하게 사로잡으면서 편의점의 밤을 지키는 든든한 일꾼이 되어간다. 현실감 넘치는 캐릭터와 그들 간의 상호작용을 점입가경으로 형상화하는 데 일가견이 있는 작가의 작품답게 이 소설에서도 독특한 개성과 사연을 지닌 인물들이 차례로 등장해 서로 티격태격하며 별난 관계를 형성해간다. 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사, 매일 밤 야외 테이블에서 참참참(참깨라면, 참치김밥, 참이슬) 세트로 혼술을 하며 하루의 스트레스를 푸는 회사원 경만, 마지막이라는 각오로 청파동에 글을 쓰러 들어온 30대 희곡작가 인경, 호시탐탐 편의점을 팔아치울 기회를 엿보는 염 여사의 아들 민식, 민식의 의뢰를 받아 독고의 뒤를 캐는 사설탐정 곽이 그들이다. 제각기 녹록지 않은 인생의 무게와 현실적 문제를 안고 있는 이들은 각자의 시선으로 독고를 관찰하는데, 그 과정에서 발생하는 오해와 대립, 충돌과 반전, 이해와 공감은 자주 폭소를 자아내고 어느 순간 울컥 눈시울이 붉어지게 한다. 그렇게 골목길의 작은 편의점은 불편하기 짝이 없는 곳이었다가 고단한 삶을 위로하고 웃음을 나누는 특별한 공간이 된다."
79297023,7,데일 카네기 인간관계론 (무삭제 완역본),데일 카네기 저/임상훈 역,현대지성,2019-10-07,11500,10350,자기계발,인간관계,자기계발,인간관계,"'평생토록 많은 사람들의 고민거리 중 하나는 사람의 마음을 사로잡는 것이다. 성공하는 인간관계에는 어떤 비밀이 숨겨져 있을까? 워런 버핏의 인생을 바꾸고, 이제 우리의 인생도 바꿀 『데일 카네기 인간관계론』을 1936년 초판 완역본으로 읽어본다. 리뷰, 한줄평만 보아도 이 책의 진가를 알 수 있다. -자기계발MD 박정윤                                    *종이책, 전자책, 오디오북 전 영역에서 국내 『데일 카네기 인간관계론』 번역서 중 압도적 1위! *카네기 사후 그의 유가족이 책을 개정하면서 삭제한 5~6부(글쓰기&결혼 생활의 비결)까지 온전히 담은 초판 완역본!사람의 마음을 사로잡는 가장 빠르고 확실한 방법!데일 카네기가 전하는, ‘성공하는 인간관계’의 비밀사람을 다루는 핵심 원리는 무엇일까? 어떻게 하면 호감 가는 사람이 될 수 있을까? 원하는 것을 얻어내는 가장 효과적인 방법은 무엇일까?  인간관계는 친구를 만들고 적을 만들지 않는 것에서 시작된다. 『데일 카네기 인간관계론』은 이런 인간관계의 핵심을 꿰뚫는다. “친구를 만들고, 사람을 설득하는 법”이라는 제목으로 1936년 출간된 데일 카네기의 책은 80년 넘도록 전 세계 수많은 사람에게 영향을 끼쳤다. 이후에 나온 모든 자기계발서가 이 책의 영향을 받았다고 해도 과언이 아니다. 세계적인 투자자 워런 버핏의 인생을 바꾼 책이자, 누구나 꼭 읽어야 할 책이기도 하다. 『데일 카네기 인간관계론』은 가장 단순하고 실용적인 원칙들로 복잡한 인간관계에 대한 우리의 고민을 명쾌하게 해결한다. 이 책은 1936년 출간된 초판을 완역해 원전의 맛을 살렸다. 데일 카네기가 그 당시 무엇을 보고 어떤 생각을 하며 이 책을 썼는지 이해할 수 있게 된 셈이다. 카네기의 생생한 말과 함께 시대를 초월하고 지역을 뛰어넘은 세계적인 베스트셀러를 만나보자."
105384881,8,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,ETS 저,YBM(와이비엠),2021-12-13,17800,16020,국어 외국어 사전,영어,,,"토익은 기출이 답이다! 기출문제 한국 독점출간!정기시험 기출문제와 성우음성으로 목표점수 적중실제 기출문제 전격 공개!이 책에는 정기시험 기출문제 7세트와 ETS 토익 예상문제 3세트가 수록되어 있다. 시험에 나온 토익 문제로 실전 감각을 키우고, 동일한 난이도의 예상문제로 시험에 확실하게 대비하자! ETS 예상문제도 실제 시험과 동일한 문항 유형 및 난이도 등 기출과 싱크로율 100% 스펙을 특징으로 한다."
114853233,9,이은경쌤의 초등어휘일력 365 ,이은경 저,포레스트북스,2022-10-28,18800,16920,가정 살림,자녀교육,가정 살림,자녀교육,"『오즈의 마법사』와 『해리포터』에서 『만복이네 떡집』과『불편한 편의점』까지15만 부모의 멘토, 이은경쌤이 초등 문학 속 어휘를 모두 모았습니다!유튜브 누적 조회수 1,300만 뷰, 네이버카페 유튜브 ‘슬기로운초등생활’ 15만 부모의 멘토이자 자녀교육 베스트셀러 저자인 이은경쌤이 엄마와 아이가 함께 보는 초등어휘일력을 출간했다. 탁상달력 형태인 이 책은 1월 1일부터 12월 31일까지 어린이가 좋아하는 문학 속 다양하고 흥미로운 어휘를 제공한다. 이은경 쌤 특유의 친근한 위로와 응원가가 매일매일 그날의 어휘에 맞게 담겨있어 해당 일력을 보는 아이와 부모의 마음을 따듯하게 어루만져줄 것이다. 이은경 쌤이 이번 일력에 특히 신경 쓴 부분은, 아이들이 좋아할 만한 문학 작품들 속에서 어휘들을 선별했다는 것이다. 15년간 초등 아이들을 가르치면서 초등 시기에는 독서만큼 중요한 게 없다고 생각한 저자는 아이들이 막상 좋은 책을 만나도 그것을 제대로 읽지 못하는 것에 안타까움을 느껴왔다. 아이들에게 그 이유를 물어보니 책을 보면 자꾸 뜻 모를 단어가 툭툭 튀어나와 재미가 반감되고 결국 책에 마음을 붙이지 못하게 된다는 것이다. 그래서 저자는 아이들이 읽어봤을, 읽어봤으면 싶은 문학 작품 속에서 다양한 어휘를 찾아내어 따뜻한 응원의 메시지와 함께 준비했다. 어휘 하나만 알고 끝나지 않도록 어원, 유의어, 반의어, 예문을 가득 담아서 말이다. 아이가 매일 “헐이네”, “짱이네” 같은 말만 입에 담고, 일기나 독후감에 “참 재미있었다” “참 슬펐다”만 반복해서 쓴다면 『이은경쌤의 초등어휘일력 365』를 아이의 눈에 가장 잘 띄는 곳에 올려놓자. 매일 따로 공부할 시간을 낼 필요 없이 아이 스스로 눈에 보이는 재미있고 다양한 어휘들을 읽히게 될 것이다. 하루 10분이면 충분하다."
8759796,10,모순,양귀자 저,쓰다,2013-04-01,13000,11700,소설/시/희곡,한국소설,,,"초판이 나온 지 벌써 15년이 흘렀지만 이 소설 『모순』은 아주 특별한 길을 걷고 있다. 그때 20대였던 독자들은 지금 결혼을 하고 30대가 되어서도 가끔씩 『모순』을 꺼내 다시 읽는다고 했다. 다시 읽을 때마다 전에는 몰랐던 소설 속 행간의 의미를 깨우치거나 세월의 힘이 알려준 다른 해석에 놀라면서 “내 인생의 가장 소중한 책 한 권”으로 꼽는 것을 주저하지 않는다. 『모순』이 특별한 것은 대다수의 독자들이 한 번만 읽고 마는 것이 아니라 적어도 두 번, 혹은 세 번 이상 되풀이 읽고 있다는 사실에 있다.『모순』의 주인공은 25세의 미혼여성 안진진. 시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명의 상태로 떠돌다 가끔씩 귀가하는 아버지, 그리고 조폭의 보스가 인생의 꿈인 남동생이 가족이다. 여기에 소설의 중요 인물로 등장하는 이모는 주인공 안진진의 어머니와는 일란성 쌍둥이로 태어났지만 인생행로는 사뭇 다르다. 부유한 이모는 지루한 삶에 진력을 내고 있고 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 주인공 안진진은 극단으로 나뉜 어머니와 이모의 삶을 바라보며 모순투성이인 이 삶을 어떻게 이해해야 하는지 심각하게 고민하기 시작한다."
